frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
84,3.458333,-0.401886923,-0.675909328,3.822152447,0.144116373,8.257260,-0.454330474,-26.031219,-0.916707489,-52.523470,1.038685914,2.489877,142.6594,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
85,3.500000,-0.399553439,-0.671411772,3.825386203,0.316322266,18.123931,-0.242876329,-13.915789,-0.956933554,-54.828254,1.035619638,2.470940,141.5744,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
86,3.541667,-0.396766996,-0.666054539,3.828812116,0.475997037,27.272621,-0.063612847,-3.644748,-0.793424055,-45.459850,1.081706415,2.452648,140.5264,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
87,3.583333,-0.393503478,-0.659885303,3.832335580,0.570773535,32.702915,0.060032590,3.439614,-0.764083631,-43.778767,1.074677309,2.437392,139.6523,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
88,3.625000,-0.389714322,-0.652911565,3.835928047,0.610906507,35.002365,0.124241884,7.118536,-0.727617901,-41.689435,1.075273854,2.431290,139.3027,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
89,3.666667,-0.385332529,-0.645106278,3.839629462,0.685301162,39.264864,0.135106272,7.741019,-0.463528220,-26.558211,1.099843520,2.442801,139.9622,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
90,3.708333,-0.380268891,-0.636404094,3.843403735,0.733225695,42.010738,0.154761862,8.867202,-0.362446816,-20.766673,1.057638842,2.475908,141.8591,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
91,3.750000,-0.374418549,-0.626698140,3.846953862,0.774395336,44.369584,0.144971374,8.306248,-0.335605210,-19.228762,1.024579781,2.525958,144.7267,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
92,3.791667,-0.367666861,-0.615846321,3.849734736,0.808242098,46.308861,0.124430655,7.129351,-0.317418164,-18.186721,1.043676824,2.584894,148.1035,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
93,3.833333,-0.359903762,-0.603687909,3.851211970,0.837123481,47.963642,0.100440814,5.754835,-0.296547423,-16.990916,1.064906853,2.647642,151.6987,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
94,3.875000,-0.351041954,-0.590067289,3.850833191,0.865988990,49.617514,0.068278532,3.912072,-0.265193085,-15.194445,1.079909735,2.711174,155.3388,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
95,3.916667,-0.341028657,-0.574844396,3.848525747,0.885981519,50.763002,0.047528811,2.723200,-0.236270548,-13.537305,1.094826866,2.767753,158.5805,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
96,3.958333,-0.329841805,-0.557920937,3.844689045,0.907258297,51.982071,0.019687165,1.127991,-0.203770698,-11.675201,1.087831612,2.797754,160.2995,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
97,4.000000,-0.317498020,-0.539258305,3.839988088,0.920762460,52.755803,0.003533475,0.202453,-0.171777133,-9.842105,1.125731984,2.773657,158.9188,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
98,4.041667,-0.304041382,-0.518890460,3.834420833,0.930235119,53.298546,-0.008069442,-0.462345,-0.145442601,-8.333247,1.119788484,2.681295,153.6269,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
99,4.083333,-0.289547269,-0.496905745,3.828364905,0.939696090,53.840620,-0.025052888,-1.435425,-0.121849498,-6.981462,1.140207599,2.534136,145.1953,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
100,4.125000,-0.274119081,-0.473465257,3.822228482,0.952305896,54.563109,-0.055250377,-3.165613,-0.094733608,-5.427836,1.158663831,2.358831,135.1511,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
101,4.166667,-0.257887217,-0.448785459,3.816593048,0.018479253,1.058783,-0.093971499,-5.384170,-0.005430718,-0.311157,1.133551505,2.174261,124.5760,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
102,4.208333,-0.241011101,-0.423116118,3.812157321,0.018827882,1.078758,-0.087170294,-4.994490,-0.005011982,-0.287165,1.126526675,1.987736,113.8889,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
103,4.250000,-0.223694486,-0.396719316,3.809517507,0.019157245,1.097629,-0.075970311,-4.352778,-0.004826703,-0.276550,1.134533321,1.800946,103.1866,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
104,4.291667,-0.206149216,-0.369874571,3.809165863,0.019420603,1.112719,-0.067149790,-3.847400,-0.003992451,-0.228751,1.132156715,1.614133,92.4830,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
105,4.333333,-0.188604607,-0.342869273,3.811573234,0.019549297,1.120092,-0.058600833,-3.357580,-0.002775715,-0.159037,1.136495430,1.427321,81.7794,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
106,4.375000,-0.171283648,-0.315977881,3.817347610,0.019559103,1.120654,-0.055120710,-3.158184,-0.001384396,-0.079320,1.132130366,1.240508,71.0759,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
107,4.416667,-0.154392110,-0.289471376,3.827388241,0.019757497,1.132021,-0.051387547,-2.944290,-0.001290368,-0.073933,1.135701272,1.053695,60.3723,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
108,4.458333,-0.138113157,-0.263596567,3.841745185,0.020202453,1.157515,-0.045929336,-2.631557,-0.001697644,-0.097268,1.139460684,0.866882,49.6687,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
109,4.500000,-0.122592745,-0.238577104,3.858985682,0.020814514,1.192584,-0.040329299,-2.310699,-0.001459943,-0.083649,1.143754268,0.680070,38.9651,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
