frame,time,anchor_type,contact_part,contact_side,contact_label,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
165,6.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.32822994654520066,0.03686862649774322,0,0,0,0
166,6.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.29250583992047274,0.0062691625365284874,0,0,0,0
167,6.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2606886049015355,0.00704398216706707,0,0,0,0
168,6.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2935730599324961,0.004969926612893571,0,0,0,0
169,7.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2841266529283211,0.01450200997785435,0,0,0,0
170,7.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3383762368315884,0.06453105359212961,0,0,0,0
171,7.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2844346789718218,0.09693990001273399,0,0,0,0
172,7.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3208418903026074,0.08615888002498555,0,0,0,0
173,7.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.35435686216715734,0.30653773357772224,0,0,0,0
174,7.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.27617492121109527,0.5062568549556121,0,1,0,0
