frame,time,u,v,x,y,visible,confidence,source
192,7.958333,640.364,365.951,640.364,365.951,1.000000,1.000000,sam2_mask_center
193,8.000000,640.443,365.903,640.443,365.903,1.000000,1.000000,sam2_mask_center
194,8.041667,640.347,365.949,640.347,365.949,1.000000,1.000000,sam2_mask_center
195,8.083333,640.376,365.927,640.376,365.927,1.000000,1.000000,sam2_mask_center
196,8.125000,640.404,365.909,640.404,365.909,1.000000,1.000000,sam2_mask_center
197,8.166667,640.365,365.858,640.365,365.858,1.000000,1.000000,sam2_mask_center
198,8.208333,640.469,365.923,640.469,365.923,1.000000,1.000000,sam2_mask_center
199,8.250000,640.466,365.933,640.466,365.933,1.000000,1.000000,sam2_mask_center
200,8.291667,640.450,365.897,640.450,365.897,1.000000,1.000000,sam2_mask_center
201,8.333333,640.450,365.902,640.450,365.902,1.000000,1.000000,sam2_mask_center
202,8.375000,640.443,365.925,640.443,365.925,1.000000,1.000000,sam2_mask_center
203,8.416667,640.469,365.920,640.469,365.920,1.000000,1.000000,sam2_mask_center
204,8.458333,640.441,365.935,640.441,365.935,1.000000,1.000000,sam2_mask_center
205,8.500000,640.378,365.934,640.378,365.934,1.000000,1.000000,sam2_mask_center
206,8.541667,640.331,365.884,640.331,365.884,1.000000,1.000000,sam2_mask_center
207,8.583333,640.354,365.918,640.354,365.918,1.000000,1.000000,sam2_mask_center
208,8.625000,640.316,365.890,640.316,365.890,1.000000,1.000000,sam2_mask_center
209,8.666667,640.232,365.841,640.232,365.841,1.000000,1.000000,sam2_mask_center
210,8.708333,640.225,365.891,640.225,365.891,1.000000,1.000000,sam2_mask_center
211,8.750000,640.200,365.893,640.200,365.893,1.000000,1.000000,sam2_mask_center
212,8.791667,640.130,365.821,640.130,365.821,1.000000,1.000000,sam2_mask_center
213,8.833333,640.263,365.958,640.263,365.958,1.000000,1.000000,sam2_mask_center
214,8.875000,640.158,365.809,640.158,365.809,1.000000,1.000000,sam2_mask_center
215,8.916667,640.285,365.954,640.285,365.954,1.000000,1.000000,sam2_mask_center
216,8.958333,640.245,365.945,640.245,365.945,1.000000,1.000000,sam2_mask_center
217,9.000000,640.179,365.962,640.179,365.962,1.000000,1.000000,sam2_mask_center
218,9.041667,640.153,365.956,640.153,365.956,1.000000,1.000000,sam2_mask_center
219,9.083333,640.139,365.954,640.139,365.954,1.000000,1.000000,sam2_mask_center
220,9.125000,640.128,365.948,640.128,365.948,1.000000,1.000000,sam2_mask_center
221,9.166667,640.015,365.935,640.015,365.935,1.000000,1.000000,sam2_mask_center
222,9.208333,639.907,365.924,639.907,365.924,1.000000,1.000000,sam2_mask_center
223,9.250000,639.891,365.931,639.891,365.931,1.000000,1.000000,sam2_mask_center
224,9.291667,639.828,365.940,639.828,365.940,1.000000,1.000000,sam2_mask_center
225,9.333333,639.622,365.901,639.622,365.901,1.000000,1.000000,sam2_mask_center
226,9.375000,639.614,365.890,639.614,365.890,1.000000,1.000000,sam2_mask_center
227,9.416667,639.515,365.859,639.515,365.859,1.000000,1.000000,sam2_mask_center
228,9.458333,639.527,365.850,639.527,365.850,1.000000,1.000000,sam2_mask_center
229,9.500000,639.597,365.888,639.597,365.888,1.000000,1.000000,sam2_mask_center
230,9.541667,639.505,365.867,639.505,365.867,1.000000,1.000000,sam2_mask_center
231,9.583333,639.440,365.853,639.440,365.853,1.000000,1.000000,sam2_mask_center
232,9.625000,639.422,365.859,639.422,365.859,1.000000,1.000000,sam2_mask_center
233,9.666667,639.487,365.859,639.487,365.859,1.000000,1.000000,sam2_mask_center
234,9.708333,639.423,365.850,639.423,365.850,1.000000,1.000000,sam2_mask_center
235,9.750000,639.365,365.837,639.365,365.837,1.000000,1.000000,sam2_mask_center
236,9.791667,639.335,365.838,639.335,365.838,1.000000,1.000000,sam2_mask_center
237,9.833333,639.375,365.877,639.375,365.877,1.000000,1.000000,sam2_mask_center
238,9.875000,639.374,365.891,639.374,365.891,1.000000,1.000000,sam2_mask_center
239,9.916667,639.283,365.885,639.283,365.885,1.000000,1.000000,sam2_mask_center
240,9.958333,639.302,365.899,639.302,365.899,1.000000,1.000000,sam2_mask_center
