frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
94,3.875000,left_hand,hand,left,-0.898707449,0.059034258,3.256660223,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
94,3.875000,right_hand,hand,right,-0.308681786,-0.257656813,3.424479485,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
95,3.916667,left_hand,hand,left,-0.921159685,0.067405045,3.249951839,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
95,3.916667,right_hand,hand,right,-0.340048790,-0.216265380,3.409025431,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
96,3.958333,left_hand,hand,left,-0.937446713,0.073117316,3.247240067,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
96,3.958333,right_hand,hand,right,-0.363334835,-0.166172445,3.384603500,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
97,4.000000,left_hand,hand,left,-0.945199251,0.075656354,3.252814293,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
97,4.000000,right_hand,hand,right,-0.380482674,-0.104830891,3.358349800,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
98,4.041667,left_hand,hand,left,-0.935662568,0.073777944,3.259963036,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
98,4.041667,right_hand,hand,right,-0.382886082,-0.043514132,3.316570282,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
99,4.083333,left_hand,hand,left,-0.919043779,0.066280991,3.275257826,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
99,4.083333,right_hand,hand,right,-0.373365939,0.011180043,3.275239468,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
100,4.125000,left_hand,hand,left,-0.890392661,0.054618984,3.292051792,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
100,4.125000,right_hand,hand,right,-0.350850523,0.052415267,3.220355988,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
101,4.166667,left_hand,hand,left,-0.852481008,0.045207858,3.304174423,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
101,4.166667,right_hand,hand,right,-0.323610157,0.082186162,3.154716253,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
102,4.208333,left_hand,hand,left,-0.807345271,0.039553970,3.313583612,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
102,4.208333,right_hand,hand,right,-0.297276229,0.101972684,3.083895206,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
103,4.250000,left_hand,hand,left,-0.764524162,0.038047105,3.311393976,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
103,4.250000,right_hand,hand,right,-0.279031157,0.111886695,3.011099339,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
104,4.291667,left_hand,hand,left,-0.723656178,0.038209885,3.306361198,gvhmr_incam,1.000000,stitched_hamer_hand_surface_median
