frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
74,3.041667,-0.192141,-0.759677,3.598725,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.589,49.983,561.589,49.983,70.196,70.196,561.589,49.983,70.196,3.598725,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
75,3.083333,-0.181720,-0.741485,3.598725,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,565.842,57.407,565.842,57.407,80.419,80.419,565.842,57.407,80.419,3.598725,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
76,3.125000,-0.175270,-0.728487,3.624566,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,568.984,64.831,568.984,64.831,90.425,90.425,568.984,64.831,90.425,3.624566,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
77,3.166667,-0.172866,-0.721474,3.650407,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,570.454,69.742,570.454,69.742,99.549,99.549,570.454,69.742,99.549,3.650407,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
78,3.208333,-0.167946,-0.719274,3.676248,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,572.908,72.661,572.908,72.661,107.761,107.761,572.908,72.661,107.761,3.676248,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
79,3.250000,-0.161126,-0.719412,3.702089,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.082,74.612,576.082,74.612,115.609,115.609,576.082,74.612,115.609,3.702089,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
80,3.291667,-0.148099,-0.729982,3.727930,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,581.657,72.426,581.657,72.426,118.440,118.440,581.657,72.426,118.440,3.727930,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
81,3.333333,-0.140381,-0.754277,3.753771,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,585.078,64.901,585.078,64.901,127.485,127.485,585.078,64.901,127.485,3.753771,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
82,3.375000,-0.136478,-0.772612,3.779611,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,586.970,59.794,586.970,59.794,133.030,133.030,586.970,59.794,133.030,3.779611,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
83,3.416667,-0.134911,-0.794408,3.805452,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,587.935,53.421,587.935,53.421,138.254,138.254,587.935,53.421,138.254,3.805452,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
