frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth,object_depth_confidence,depth_observation_state,source
186,7.708333,536.275,142.366,31.595,2.825267,2.784281,1.000000,observed_mask_median,da3_metric_sam2_mask_median
187,7.750000,541.429,153.209,32.728,2.761541,2.773652,1.000000,observed_mask_median,da3_metric_sam2_mask_median
188,7.791667,544.706,166.569,32.065,2.766605,2.773652,1.000000,observed_mask_median,da3_metric_sam2_mask_median
189,7.833333,545.365,183.950,32.445,2.850268,2.825267,1.000000,observed_mask_median,da3_metric_sam2_mask_median
190,7.875000,543.689,203.356,32.322,2.745207,2.825320,1.000000,observed_mask_median,da3_metric_sam2_mask_median
191,7.916667,541.189,225.110,32.538,2.863092,2.841909,1.000000,observed_mask_median,da3_metric_sam2_mask_median
192,7.958333,542.015,246.712,31.194,2.841909,2.850268,1.000000,observed_mask_median,da3_metric_sam2_mask_median
193,8.000000,545.875,266.591,31.235,2.825320,2.863092,1.000000,observed_mask_median,da3_metric_sam2_mask_median
194,8.041667,553.027,284.111,31.071,2.923569,2.923569,1.000000,observed_mask_median,da3_metric_sam2_mask_median
195,8.083333,560.174,298.574,30.943,2.946645,2.946645,1.000000,observed_mask_median,da3_metric_sam2_mask_median
196,8.125000,567.169,308.996,30.845,3.048346,3.033580,1.000000,observed_mask_median,da3_metric_sam2_mask_median
197,8.166667,572.689,315.577,29.425,3.033580,3.048346,1.000000,observed_mask_median,da3_metric_sam2_mask_median
198,8.208333,575.380,320.933,29.397,3.071845,3.071845,1.000000,observed_mask_median,da3_metric_sam2_mask_median
199,8.250000,577.032,323.025,29.278,3.147799,3.071845,1.000000,observed_mask_median,da3_metric_sam2_mask_median
200,8.291667,576.490,323.147,29.038,3.128117,3.091236,1.000000,observed_mask_median,da3_metric_sam2_mask_median
201,8.333333,574.473,321.770,28.983,3.109647,3.091236,1.000000,observed_mask_median,da3_metric_sam2_mask_median
202,8.375000,571.629,318.839,29.435,3.050833,3.091236,1.000000,observed_mask_median,da3_metric_sam2_mask_median
203,8.416667,567.660,313.921,28.574,3.091236,3.050833,1.000000,observed_mask_median,da3_metric_sam2_mask_median
204,8.458333,563.556,308.639,28.807,3.026310,3.050833,1.000000,observed_mask_median,da3_metric_sam2_mask_median
205,8.500000,559.725,301.573,28.074,3.015607,3.041616,1.000000,observed_mask_median,da3_metric_sam2_mask_median
206,8.541667,556.486,297.401,29.843,3.041616,3.035728,1.000000,observed_mask_median,da3_metric_sam2_mask_median
207,8.583333,554.798,290.295,29.136,3.136918,3.035728,1.000000,observed_mask_median,da3_metric_sam2_mask_median
208,8.625000,551.964,286.998,30.040,3.017344,3.041616,1.000000,observed_mask_median,da3_metric_sam2_mask_median
209,8.666667,549.746,284.617,29.338,3.035728,3.070667,1.000000,observed_mask_median,da3_metric_sam2_mask_median
210,8.708333,547.558,285.326,28.557,3.070667,3.136918,1.000000,observed_mask_median,da3_metric_sam2_mask_median
211,8.750000,544.170,289.375,27.886,3.146629,3.146629,1.000000,observed_mask_median,da3_metric_sam2_mask_median
212,8.791667,541.951,298.419,26.963,3.180577,3.169335,1.000000,observed_mask_median,da3_metric_sam2_mask_median
213,8.833333,538.703,310.095,27.426,3.289678,3.180577,1.000000,observed_mask_median,da3_metric_sam2_mask_median
214,8.875000,536.355,321.480,29.597,3.169335,3.215082,1.000000,observed_mask_median,da3_metric_sam2_mask_median
215,8.916667,536.865,329.476,30.114,3.215082,3.247454,1.000000,observed_mask_median,da3_metric_sam2_mask_median
