frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,da3_mask_depth_m,da3_depth_conf,residual_norm,source
77,3.166667,0.264486686,0.426519065,5.540615054,0.623777356,0.407730036,-0.370475902,0.554441731,0.103901853,1.166168738,0.055826619,-0.078981928,0.054011722,1468.604736328,1468.604736328,640.000000000,360.000000000,3.599556446,0.964462546,3.347573402,chair_metric_articulated_6d_sam2_cotracker_da3
78,3.208333,0.269158213,0.425422926,5.552783969,0.634298315,0.409974192,-0.377966433,0.535470060,0.148418399,1.183314279,0.048068644,-0.082449530,0.081373616,1468.604736328,1468.604736328,640.000000000,360.000000000,3.598137140,0.959924652,3.567388095,chair_metric_articulated_6d_sam2_cotracker_da3
79,3.250000,0.260316512,0.429358072,5.602841501,0.637499737,0.408782015,-0.382080757,0.529627837,0.162109774,1.188507708,0.040126622,-0.111364927,0.099118253,1468.604736328,1468.604736328,640.000000000,360.000000000,3.643495083,0.952773396,3.285762023,chair_metric_articulated_6d_sam2_cotracker_da3
80,3.291667,0.254149305,0.432017091,5.718154463,0.642250834,0.393062407,-0.376082959,0.539979091,0.153100810,1.151410694,0.025418236,-0.126524714,0.095659940,1468.604736328,1468.604736328,640.000000000,360.000000000,3.674847603,0.959199704,3.359737470,chair_metric_articulated_6d_sam2_cotracker_da3
81,3.333333,0.240125988,0.439303605,5.748615380,0.639895242,0.380803650,-0.375644765,0.551736957,0.131657088,1.129692970,0.007704366,-0.144778010,0.096632070,1468.604736328,1468.604736328,640.000000000,360.000000000,3.688363075,0.968624806,4.792361249,chair_metric_articulated_6d_sam2_cotracker_da3
82,3.375000,0.213483594,0.440114591,5.721469719,0.637269873,0.380594068,-0.370579379,0.558306536,0.117806992,1.120690785,0.014941116,-0.147302834,0.074643041,1468.604736328,1468.604736328,640.000000000,360.000000000,3.651332855,0.967764216,3.604183676,chair_metric_articulated_6d_sam2_cotracker_da3
83,3.416667,0.174973016,0.445718874,5.681661691,0.629747209,0.382927322,-0.364990473,0.568829565,0.090815038,1.114983752,0.026739964,-0.130812935,0.053470280,1468.604736328,1468.604736328,640.000000000,360.000000000,3.603363037,0.968635603,4.104275103,chair_metric_articulated_6d_sam2_cotracker_da3
84,3.458333,0.131108477,0.446058525,5.640263358,0.625477738,0.403132202,-0.357158887,0.564534815,0.091050727,1.135899830,0.068685642,-0.120901250,0.029458710,1468.604736328,1468.604736328,640.000000000,360.000000000,3.591600895,0.966880375,3.474431630,chair_metric_articulated_6d_sam2_cotracker_da3
85,3.500000,0.131192507,0.447703619,5.631077794,0.638532887,0.409379329,-0.364066986,0.540499350,0.146876140,1.158795378,0.067888013,-0.119142234,0.069514353,1468.604736328,1468.604736328,640.000000000,360.000000000,3.539790869,0.966007905,3.315458089,chair_metric_articulated_6d_sam2_cotracker_da3
86,3.541667,0.114821877,0.446774025,5.723182850,0.641631111,0.406824289,-0.364729561,0.538308334,0.154764718,1.155692076,0.063052688,-0.122058936,0.064670080,1468.604736328,1468.604736328,640.000000000,360.000000000,3.493473768,0.967924129,3.824079699,chair_metric_articulated_6d_sam2_cotracker_da3
87,3.583333,0.096513571,0.449710270,5.786085101,0.641612494,0.397246149,-0.362938553,0.546630142,0.141970727,1.136252926,0.051279782,-0.129166618,0.060808948,1468.604736328,1468.604736328,640.000000000,360.000000000,3.638788462,0.961324753,3.374123562,chair_metric_articulated_6d_sam2_cotracker_da3
88,3.625000,0.080672941,0.447690277,5.852065350,0.642845616,0.383457479,-0.359076774,0.557470848,0.127219155,1.106469540,0.036330320,-0.139982515,0.042813930,1468.604736328,1468.604736328,640.000000000,360.000000000,3.635728598,0.961465017,3.909267915,chair_metric_articulated_6d_sam2_cotracker_da3
