frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg
181,7.500000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
182,7.541667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
183,7.583333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
184,7.625000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
185,7.666667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
186,7.708333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
187,7.750000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
188,7.791667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
189,7.833333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
190,7.875000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
191,7.916667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
192,7.958333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
193,8.000000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
194,8.041667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
195,8.083333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
196,8.125000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
197,8.166667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
198,8.208333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
199,8.250000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
200,8.291667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
201,8.333333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
202,8.375000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
203,8.416667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
204,8.458333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
205,8.500000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
206,8.541667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
207,8.583333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
208,8.625000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
209,8.666667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
210,8.708333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
211,8.750000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
212,8.791667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
213,8.833333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
