frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
209,86,240,8.666667,anchor_contact_event,left_hand,0.557770,soft,0.742060,0.557770,0.000000,0.000000,0.000000,0.000000
210,86,240,8.708333,anchor_contact_event,left_hand,0.536715,soft,0.741375,0.536715,0.000000,0.000000,0.000000,0.000000
211,86,240,8.750000,anchor_contact_event,left_hand,0.532653,soft,0.730849,0.532653,0.000000,0.000000,0.000000,0.000000
212,86,240,8.791667,anchor_contact_event,left_hand,0.554290,soft,0.727657,0.554290,0.000000,0.000000,0.000000,0.000000
213,86,240,8.833333,anchor_contact_event,left_hand,0.536840,soft,0.739212,0.536840,0.000000,0.000000,0.000000,0.000000
214,86,240,8.875000,anchor_contact_event,left_hand,0.558128,soft,0.733430,0.558128,0.000000,0.000000,0.000000,0.000000
215,86,240,8.916667,anchor_contact_event,left_hand,0.537608,soft,0.736619,0.537608,0.000000,0.000000,0.000000,0.000000
216,86,240,8.958333,anchor_contact_event,left_hand,0.534233,soft,0.741863,0.534233,0.000000,0.000000,0.000000,0.000000
217,86,240,9.000000,anchor_contact_event,left_hand,0.535490,soft,0.742829,0.535490,0.000000,0.000000,0.000000,0.000000
218,86,240,9.041667,anchor_contact_event,left_hand,0.537876,soft,0.742040,0.537876,0.000000,0.000000,0.000000,0.000000
219,86,240,9.083333,anchor_contact_event,left_hand,0.540563,soft,0.750104,0.540563,0.000000,0.000000,0.000000,0.000000
220,86,240,9.125000,anchor_contact_event,left_hand,0.542415,soft,0.755773,0.542415,0.000000,0.000000,0.000000,0.000000
221,86,240,9.166667,anchor_contact_event,left_hand,0.548902,soft,0.758325,0.548902,0.000000,0.000000,0.000000,0.000000
222,86,240,9.208333,anchor_contact_event,left_hand,0.548438,soft,0.761741,0.548438,0.000000,0.000000,0.000000,0.000000
223,86,240,9.250000,anchor_contact_event,left_hand,0.547553,soft,0.767697,0.547553,0.000000,0.000000,0.000000,0.000000
224,86,240,9.291667,anchor_contact_event,left_hand,0.548216,soft,0.771391,0.548216,0.000000,0.000000,0.000000,0.000000
225,86,240,9.333333,anchor_contact_event,left_hand,0.559813,soft,0.769573,0.559813,0.000000,0.000000,0.000000,0.000000
226,86,240,9.375000,anchor_contact_event,left_hand,0.554330,soft,0.773697,0.554330,0.000000,0.000000,0.000000,0.000000
227,86,240,9.416667,anchor_contact_event,left_hand,0.556144,soft,0.774343,0.556144,0.000000,0.000000,0.000000,0.000000
228,86,240,9.458333,anchor_contact_event,left_hand,0.558064,soft,0.774535,0.558064,0.000000,0.000000,0.000000,0.000000
229,86,240,9.500000,anchor_contact_event,left_hand,0.566215,soft,0.771952,0.566215,0.000000,0.000000,0.000000,0.000000
230,86,240,9.541667,anchor_contact_event,left_hand,0.555069,soft,0.776873,0.555069,0.000000,0.000000,0.000000,0.000000
231,86,240,9.583333,anchor_contact_event,left_hand,0.528857,soft,0.787677,0.528857,0.000000,0.000000,0.000000,0.000000
232,86,240,9.625000,anchor_contact_event,left_hand,0.532063,soft,0.786629,0.532063,0.000000,0.000000,0.000000,0.000000
233,86,240,9.666667,anchor_contact_event,left_hand,0.529281,soft,0.787902,0.529281,0.000000,0.000000,0.000000,0.000000
234,86,240,9.708333,anchor_contact_event,left_hand,0.538237,soft,0.784434,0.538237,0.000000,0.000000,0.000000,0.000000
235,86,240,9.750000,anchor_contact_event,left_hand,0.526600,soft,0.789167,0.526600,0.000000,0.000000,0.000000,0.000000
236,86,240,9.791667,anchor_contact_event,left_hand,0.528568,soft,0.788437,0.528568,0.000000,0.000000,0.000000,0.000000
237,86,240,9.833333,anchor_contact_event,left_hand,0.572669,soft,0.770839,0.572669,0.000000,0.000000,0.000000,0.000000
