frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg,m43_phase_rad,m43_phase_deg,m43_source
95,3.916667,1.308996939,75.000000,2.779801,159.2709,0,-0.012081,-0.6922,visible,-0.500512,-0.490017,50.7630,1.308996939,75.000000,smooth_entry_physical_phase_no_hide
96,3.958333,1.282233437,73.466564,2.851365,163.3712,0,-0.053626,-3.0726,visible,-0.578616,-0.534067,51.9821,1.282233437,73.466564,smooth_entry_physical_phase_no_hide
97,4.000000,1.258380381,72.099885,2.921857,167.4100,0,-0.148194,-8.4909,visible,-0.645002,-0.525100,52.7558,1.258380381,72.099885,smooth_entry_physical_phase_no_hide
98,4.041667,1.239182429,70.999923,2.986855,171.1342,1,-0.305537,-17.5060,hidden,-0.700071,-0.452851,53.2985,1.239182429,70.999923,smooth_entry_physical_phase_no_hide
99,4.083333,1.226384241,70.266641,3.045229,174.4788,1,-0.511061,-29.2816,hidden,-0.746863,-0.326191,53.8406,1.226384241,70.266641,smooth_entry_physical_phase_no_hide
100,4.125000,1.221730476,70.000000,3.099357,177.5801,1,-0.740490,-42.4270,hidden,-0.789547,-0.168768,54.5631,1.221730476,70.000000,smooth_entry_physical_phase_no_hide
101,4.166667,1.258033325,72.080000,4.051390,232.1275,1,-1.877092,-107.5494,hidden,-0.800588,0.812726,1.0588,1.258033325,72.080000,smooth_entry_physical_phase_no_hide
102,4.208333,1.344601656,77.040000,-2.132726,-122.1962,1,4.120500,236.0872,hidden,-0.856110,0.906530,1.0788,1.344601656,77.040000,smooth_entry_physical_phase_no_hide
103,4.250000,1.447925147,82.960000,-2.027791,-116.1838,1,3.828776,219.3727,hidden,-0.905671,0.969074,1.0976,1.447925147,82.960000,smooth_entry_physical_phase_no_hide
104,4.291667,1.534493478,87.920000,-1.910370,-109.4561,1,3.524543,201.9415,hidden,-0.949187,0.998029,1.1127,1.534493478,87.920000,smooth_entry_physical_phase_no_hide
105,4.333333,1.570796327,90.000000,-1.774154,-101.6515,1,3.201515,183.4333,hidden,-0.983155,0.992336,1.1201,1.570796327,90.000000,smooth_entry_physical_phase_no_hide
106,4.375000,1.542563059,88.382353,-1.621612,-92.9115,1,2.862162,163.9898,hidden,-0.999512,0.952123,1.1207,1.542563059,88.382353,smooth_entry_physical_phase_no_hide
107,4.416667,1.483529864,85.000000,-1.461730,-83.7510,1,2.515467,144.1256,hidden,-0.991714,0.878873,1.1320,1.483529864,85.000000,smooth_entry_physical_phase_no_hide
108,4.458333,1.387607424,79.504049,-1.302178,-74.6093,1,2.169103,124.2805,hidden,-0.958580,0.775261,1.1575,1.387607424,79.504049,smooth_entry_physical_phase_no_hide
109,4.500000,1.265434376,72.504049,-1.147781,-65.7630,1,1.827895,104.7306,hidden,-0.903114,0.644927,1.1926,1.265434376,72.504049,smooth_entry_physical_phase_no_hide
110,4.541667,1.143261328,65.504049,-1.000774,-57.3401,1,1.494097,85.6055,hidden,-0.830084,0.492394,1.2327,1.143261328,65.504049,smooth_entry_physical_phase_no_hide
111,4.583333,1.040188644,59.598419,-0.862908,-49.4410,1,1.169693,67.0185,hidden,-0.745112,0.323088,1.2723,1.040188644,59.598419,smooth_entry_physical_phase_no_hide
112,4.625000,0.959931089,55.000000,-0.736102,-42.1755,1,0.858201,49.1713,hidden,-0.654170,0.144607,1.3188,0.959931089,55.000000,smooth_entry_physical_phase_no_hide
113,4.666667,0.895536318,51.310451,-0.621662,-35.6186,1,0.567776,32.5312,hidden,-0.562853,-0.030054,1.3653,0.895536318,51.310451,smooth_entry_physical_phase_no_hide
114,4.708333,0.839527514,48.101383,-0.521982,-29.9074,1,0.318180,18.2304,hidden,-0.477136,-0.178255,1.4088,0.839527514,48.101383,smooth_entry_physical_phase_no_hide
115,4.750000,0.785398163,45.000000,-0.440758,-25.2536,0,0.136521,7.8221,visible,-0.403579,-0.275303,1.4515,0.785398163,45.000000,smooth_entry_physical_phase_no_hide
116,4.791667,0.730378633,41.847613,-0.380850,-21.8211,0,0.034759,1.9915,visible,-0.347343,-0.314545,1.4962,0.730378633,41.847613,smooth_entry_physical_phase_no_hide
117,4.833333,0.676297750,38.749007,-0.341818,-19.5847,0,-0.004897,-0.2806,visible,-0.309755,-0.314408,1.5403,0.676297750,38.749007,smooth_entry_physical_phase_no_hide
118,4.875000,0.623546693,35.726594,-0.321216,-18.4043,0,-0.012265,-0.7028,visible,-0.289405,-0.301123,1.5820,0.623546693,35.726594,smooth_entry_physical_phase_no_hide
119,4.916667,0.572516641,32.802787,-0.315029,-18.0498,0,-0.007309,-0.4188,visible,-0.282814,-0.289817,1.6216,0.572516641,32.802787,smooth_entry_physical_phase_no_hide
