frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
208,8.625000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
209,8.666667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
210,8.708333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
211,8.750000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
212,8.791667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
213,8.833333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
214,8.875000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
215,8.916667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
216,8.958333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
217,9.000000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
218,9.041667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
219,9.083333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
220,9.125000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
221,9.166667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
222,9.208333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
223,9.250000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
224,9.291667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
225,9.333333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
226,9.375000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
227,9.416667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
228,9.458333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
229,9.500000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
230,9.541667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
231,9.583333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
232,9.625000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
233,9.666667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
234,9.708333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
235,9.750000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
236,9.791667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
237,9.833333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
238,9.875000,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
239,9.916667,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
240,9.958333,0.003858,0.016227,4.001687,0.028945,0.004692,0.000169,1.219385,0.05
