frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
120,4.958333,-0.015604,-0.032420,4.055175,0.279502,0.079500,4.006686,-0.171509,0.041799,3.611208,-0.168987,0.580328,4.040038,0.673114,0.688415
121,5.000000,-0.016153,-0.031824,4.046501,0.276658,0.079260,3.996907,-0.158440,0.067505,3.601277,-0.165535,0.565107,4.040511,0.658395,0.663766
122,5.041667,-0.014367,-0.030211,4.041833,0.273393,0.078581,3.990596,-0.145841,0.115780,3.596440,-0.162398,0.499077,4.040984,0.607676,0.587206
123,5.083333,-0.010651,-0.028447,4.035563,0.273815,0.078070,3.979730,-0.136065,0.178768,3.597328,-0.162638,0.381524,4.041458,0.535151,0.488946
124,5.125000,-0.007127,-0.028377,4.045361,0.274880,0.075785,3.985199,-0.139570,0.220277,3.617079,-0.167955,0.226145,4.041931,0.471094,0.425840
125,5.166667,-0.003014,-0.027167,4.045182,0.276917,0.075090,3.981503,-0.149465,0.242512,3.630261,-0.173993,0.120000,4.042404,0.457215,0.430666
126,5.208333,0.001329,-0.027080,4.045403,0.280694,0.074427,3.978808,-0.164681,0.243337,3.636191,-0.200812,0.165794,4.032223,0.493000,0.405167
127,5.250000,0.002876,-0.028065,4.040729,0.282123,0.074195,3.971427,-0.183872,0.222811,3.630781,-0.224614,0.289396,4.028371,0.553477,0.405180
128,5.291667,0.003889,-0.027724,4.035453,0.285616,0.077716,3.963936,-0.203473,0.172451,3.618894,-0.258299,0.391738,4.024519,0.630970,0.464353
129,5.333333,0.004589,-0.028133,4.036318,0.290573,0.080854,3.961545,-0.223882,0.115063,3.622410,-0.277249,0.495394,4.020667,0.705521,0.553271
130,5.375000,0.002854,-0.028456,4.041285,0.294038,0.083685,3.962868,-0.243646,0.073110,3.635499,-0.292810,0.549234,4.016814,0.751024,0.611974
131,5.416667,0.000934,-0.027291,4.047004,0.297072,0.084918,3.966885,-0.261504,0.058572,3.649113,-0.306828,0.567521,4.012962,0.774418,0.627271
132,5.458333,-0.002626,-0.027049,4.042719,0.297845,0.084319,3.961216,-0.275617,0.068163,3.651246,-0.319947,0.567367,4.009110,0.785682,0.615822
133,5.500000,-0.005737,-0.025729,4.033930,0.297037,0.082891,3.951491,-0.288290,0.107066,3.649401,-0.331178,0.540193,4.005258,0.778891,0.562203
134,5.541667,-0.009660,-0.025608,4.023770,0.292884,0.078051,3.941736,-0.305218,0.160099,3.649838,-0.336396,0.455732,4.001406,0.736341,0.460403
135,5.583333,-0.013996,-0.024882,4.020335,0.287000,0.073777,3.937188,-0.317732,0.203350,3.660667,-0.348200,0.319338,3.997554,0.683684,0.357595
136,5.625000,-0.017853,-0.024867,4.007008,0.279972,0.070413,3.919949,-0.320082,0.226239,3.657539,-0.354689,0.145782,3.993701,0.643362,0.347384
137,5.666667,-0.020127,-0.025555,4.005507,0.274821,0.067785,3.914684,-0.321991,0.232404,3.657720,-0.356810,0.120027,3.989849,0.638229,0.352350
138,5.708333,-0.019126,-0.026621,4.014907,0.273534,0.066631,3.923497,-0.322993,0.222806,3.660980,-0.348613,0.257189,3.998991,0.655041,0.340719
139,5.750000,-0.017171,-0.027773,4.020692,0.273838,0.067085,3.929729,-0.318733,0.196021,3.652470,-0.338540,0.370366,4.005325,0.687533,0.394075
