frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source
95,3.916667,-0.226927,0.140574,2.442761,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,503.570,444.514,503.570,444.514,480.560,480.560,503.570,444.514,480.560,2.442761,,0,0,translation3_from_stage1_observation_backproject_uvz
96,3.958333,-0.216916,0.153943,2.416510,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.172,453.557,508.172,453.557,490.218,490.218,508.172,453.557,490.218,2.416510,,0,0,translation3_from_stage1_observation_backproject_uvz
97,4.000000,-0.212740,0.205432,2.384964,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.000,486.500,509.000,486.500,530.000,530.000,509.000,486.500,530.000,2.384964,,0,0,translation3_from_stage1_observation_backproject_uvz
98,4.041667,-0.193494,0.290238,2.345395,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,518.841,541.737,518.841,541.737,582.292,582.292,518.841,541.737,582.292,2.345395,,0,0,translation3_from_stage1_observation_backproject_uvz
99,4.083333,-0.162539,0.397104,2.293211,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.908,614.311,535.908,614.311,648.302,648.302,535.908,614.311,648.302,2.293211,,0,0,translation3_from_stage1_observation_backproject_uvz
100,4.125000,-0.147138,0.388285,2.264120,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,544.560,611.858,544.560,611.858,646.444,646.444,544.560,611.858,646.444,2.264120,,0,0,translation3_from_stage1_observation_backproject_uvz
101,4.166667,-0.135078,0.325002,2.260177,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,552.230,571.178,552.230,571.178,606.168,606.168,552.230,571.178,606.168,2.260177,,0,0,translation3_from_stage1_observation_backproject_uvz
102,4.208333,-0.130108,0.267312,2.248416,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.017,534.601,555.017,534.601,570.468,570.468,555.017,534.601,570.468,2.248416,,0,0,translation3_from_stage1_observation_backproject_uvz
103,4.250000,-0.120456,0.224089,2.247311,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.283,506.441,561.283,506.441,540.869,540.869,561.283,506.441,540.869,2.247311,,0,0,translation3_from_stage1_observation_backproject_uvz
104,4.291667,-0.114975,0.193052,2.242249,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.695,486.443,564.695,486.443,517.642,517.642,564.695,486.443,517.642,2.242249,,0,0,translation3_from_stage1_observation_backproject_uvz
105,4.333333,-0.107590,0.168444,2.244476,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,569.602,470.216,569.602,470.216,500.394,500.394,569.602,470.216,500.394,2.244476,,0,0,translation3_from_stage1_observation_backproject_uvz
106,4.375000,-0.101886,0.154462,2.250679,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,573.518,460.789,573.518,460.789,491.322,491.322,573.518,460.789,491.322,2.250679,,0,0,translation3_from_stage1_observation_backproject_uvz
