frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
67,2.750000,hammer,629.261,298.593,tracking,1,629.261,298.593,,1,629.315,298.606,1703.5,601.000,263.000,649.000,336.000,48.000,73.000,36.138,64.331,44.701,0.657534,0.460609,0,,,,,,,,,,,,0.000000,0.460609,0.460609,,,,,,,,,,,,
68,2.791667,hammer,629.336,297.984,tracking,1,629.336,297.984,,1,629.408,297.981,1685.0,602.000,263.000,649.000,335.000,47.000,72.000,35.810,62.206,44.141,0.652778,0.460168,0,,,,,,,,,,,,0.000000,0.460168,0.460168,,,,,,,,,,,,
69,2.833333,hammer,628.860,292.850,tracking,1,628.860,292.850,,1,628.888,292.737,1501.5,601.000,259.000,649.000,332.000,48.000,73.000,36.300,60.833,44.179,0.657534,0.388397,0,,,,,,,,,,,,0.000000,0.388397,0.388397,,,,,,,,,,,,
70,2.875000,hammer,627.151,286.858,tracking,1,627.151,286.858,,1,627.192,286.913,1532.0,602.000,252.000,648.000,318.000,46.000,66.000,33.082,59.249,42.646,0.696970,0.474916,0,,,,,,,,,,,,0.000000,0.474916,0.474916,,,,,,,,,,,,
71,2.916667,hammer,625.210,278.766,tracking,1,625.210,278.766,,1,625.258,278.773,1385.0,600.000,246.000,646.000,306.000,46.000,60.000,31.178,55.880,42.700,0.766667,0.418940,0,,,,,,,,,,,,0.000000,0.418940,0.418940,,,,,,,,,,,,
72,2.958333,hammer,623.978,272.287,tracking,1,623.978,272.287,,1,624.049,272.293,1332.5,599.000,240.000,645.000,300.000,46.000,60.000,31.807,58.666,40.542,0.766667,0.402102,0,,,,,,,,,,,,0.000000,0.402102,0.402102,,,,,,,,,,,,
73,3.000000,hammer,621.599,268.373,tracking,1,621.599,268.373,,1,621.655,268.368,1344.5,597.000,237.000,643.000,294.000,46.000,57.000,30.931,56.131,40.534,0.807018,0.422108,0,,,,,,,,,,,,0.000000,0.422108,0.422108,,,,,,,,,,,,
74,3.041667,hammer,618.495,265.736,tracking,1,618.495,265.736,,1,618.562,265.725,1319.0,594.000,234.000,640.000,292.000,46.000,58.000,29.904,56.067,41.923,0.793103,0.401676,0,,,,,,,,,,,,0.000000,0.401676,0.401676,,,,,,,,,,,,
75,3.083333,hammer,615.925,265.243,tracking,1,615.925,265.243,,1,615.986,265.224,1426.0,591.000,233.000,638.000,292.000,47.000,59.000,30.425,56.904,42.811,0.796610,0.441433,0,,,,,,,,,,,,0.000000,0.441433,0.441433,,,,,,,,,,,,
76,3.125000,hammer,612.937,265.466,tracking,1,612.937,265.466,,1,612.979,265.466,1419.0,588.000,233.000,635.000,291.000,47.000,58.000,29.793,54.291,44.801,0.810345,0.449664,0,,,,,,,,,,,,0.000000,0.449664,0.449664,,,,,,,,,,,,
77,3.166667,hammer,609.566,265.744,tracking,1,609.566,265.744,,1,609.610,265.728,1277.5,585.000,235.000,631.000,291.000,46.000,56.000,29.508,52.574,43.401,0.821429,0.402453,0,,,,,,,,,,,,0.000000,0.402453,0.402453,,,,,,,,,,,,
