frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
116,4.791667,-0.109025,-0.746978,3.548565,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,594.879,50.857,18.848,594.879,50.857,41.386,92.242,331.589,0.000408,0,0,0
117,4.833333,-0.110803,-0.747400,3.546337,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,594.114,50.487,33.061,594.114,50.488,41.412,91.899,331.589,0.000572,0,0,0
118,4.875000,-0.100874,-0.695343,3.544109,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,598.200,71.864,39.976,598.200,71.864,41.438,113.302,331.589,0.000469,0,0,0
119,4.916667,-0.092036,-0.591162,3.541881,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.838,114.881,36.624,601.838,114.881,41.464,156.345,331.589,0.000263,0,0,0
120,4.958333,-0.074709,-0.478367,3.539652,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,609.003,161.526,43.490,609.003,161.525,41.490,203.015,331.589,0.001061,0,0,0
121,5.000000,-0.053687,-0.377310,3.537424,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,617.711,203.352,47.566,617.711,203.355,41.516,244.871,331.589,0.002946,0,0,0
122,5.041667,-0.031219,-0.198303,3.535196,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,627.031,277.623,45.122,627.031,277.620,41.542,319.162,331.589,0.002911,0,0,0
123,5.083333,-0.024285,-0.157133,3.532967,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,629.905,294.682,34.125,629.905,294.682,41.569,336.251,331.589,0.000165,0,0,0
124,5.125000,-0.025299,-0.168231,3.530739,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,629.477,294.895,33.541,629.477,290.025,41.595,331.620,331.589,4.870220,1,0,0
125,5.166667,-0.026198,-0.163159,3.629694,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,629.400,293.985,34.341,629.400,293.984,40.461,334.445,331.589,0.000594,0,0,0
126,5.208333,-0.025045,-0.185933,3.628401,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,629.863,284.743,33.474,629.863,284.743,40.475,325.218,331.589,0.000188,0,0,0
127,5.250000,-0.031000,-0.221488,3.627107,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,627.448,270.320,30.311,627.448,270.320,40.490,310.810,331.589,0.000280,0,0,0
128,5.291667,-0.034799,-0.259352,3.625813,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,625.905,254.952,32.250,625.905,254.952,40.504,295.456,331.589,0.000292,0,0,0
129,5.333333,-0.041852,-0.313316,3.624520,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,623.042,233.049,31.894,623.042,233.049,40.519,273.567,331.589,0.000251,0,0,0
130,5.375000,-0.045850,-0.370069,3.623226,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,621.416,209.999,33.682,621.416,210.000,40.533,250.533,331.589,0.000794,0,0,0
131,5.416667,-0.063517,-0.405612,3.621932,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,614.245,195.535,37.122,614.245,195.534,40.548,236.082,331.589,0.000700,0,0,0
