frame,time,z_init,z_ref,z_final,anchor_used,anchor_kind,anchor_weight,target_center_z,hand_z,local_delta_z,contact_depth_offset_m,contact_label,frame_mode,human_contact_state,floor_contact_state,support_conf,table_static_start_frame
82,3.375000,3.609287855,3.806303300,3.818384779,1,continuous_keep,1.084369,3.806303300,3.803551674,0.040889374,-0.043641000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
83,3.416667,3.611848928,3.779060854,3.820707650,1,continuous_keep,1.084369,3.779060854,3.803487015,0.040217160,-0.015791000,left_hand,rim_contact_keep_previous_grasp_anchor,0,0,0.75,167
84,3.458333,3.615322545,3.825292998,3.823465446,1,continuous_keep,1.084369,3.825292998,3.804566240,0.034625243,-0.055352000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
85,3.500000,3.619435855,3.827207813,3.826503984,1,continuous_keep,1.084369,3.827207813,3.806936789,0.025485976,-0.045757000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
86,3.541667,3.623546289,3.835730756,3.829715196,1,continuous_keep,1.084369,3.835730756,3.810626030,0.013796274,-0.038901000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
87,3.583333,3.628899869,3.839454659,3.833013824,1,continuous_keep,1.084369,3.839454659,3.815601635,0.007142976,-0.030996000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
88,3.625000,3.636939769,3.826886882,3.836378861,1,continuous_keep,1.084369,3.826886882,3.818848038,0.004196156,-0.012235000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
89,3.666667,3.643342301,3.781279479,3.839855286,1,continuous_keep,1.084369,3.781279479,3.820109606,-0.000174874,0.039005000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
90,3.708333,3.653382825,3.814976938,3.843410715,1,continuous_keep,1.084369,3.814976938,3.820673943,-0.004107995,0.009805000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
91,3.750000,3.655597218,3.866269713,3.846752382,1,continuous_keep,1.084369,3.866269713,3.822011614,-0.009071099,-0.035187000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
92,3.791667,3.656435141,3.882073256,3.849340553,1,continuous_keep,1.084369,3.882073256,3.820761395,-0.014563862,-0.046748000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
93,3.833333,3.656943449,3.886281910,3.850646887,1,confirmed_update,2.323647,3.886281910,3.820583773,-0.020099137,-0.045599000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
94,3.875000,3.658642598,3.874347758,3.850126696,1,confirmed_update,2.323647,3.874347758,3.819870281,-0.025560477,-0.028917000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
95,3.916667,3.661506240,3.863091095,3.847711186,1,confirmed_update,2.323647,3.863091095,3.815039349,-0.030075746,-0.017976000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
96,3.958333,3.667040692,3.824071893,3.843798506,1,confirmed_update,2.323647,3.824071893,3.811761427,-0.032612466,0.020302000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
97,4.000000,3.674307075,3.854144052,3.839045309,1,confirmed_update,2.323647,3.854144052,3.807507133,-0.033021919,-0.013615000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
98,4.041667,3.682150264,3.842812807,3.833446258,1,continuous_keep,1.084369,3.842812807,3.802648687,-0.028034120,-0.012130000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
99,4.083333,3.694819621,3.850987805,3.827369123,1,continuous_keep,1.084369,3.850987805,3.799054241,-0.020203564,-0.031730000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
100,4.125000,3.710496356,3.821044992,3.821213415,1,continuous_keep,1.084369,3.821044992,3.795063543,-0.010157449,-0.015824000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
101,4.166667,3.634086532,3.731952294,3.815553616,1,continuous_keep,1.084369,3.731952294,3.793568707,0.050616413,0.011000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
102,4.208333,3.660513774,3.715892670,3.811086562,1,continuous_keep,1.084369,3.715892670,3.794033146,0.056238476,0.021902000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
103,4.250000,3.683128816,3.690740756,3.808407548,1,continuous_keep,1.084369,3.690740756,3.791566610,0.060714854,0.040111000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
104,4.291667,3.702662274,3.683802018,3.808008421,1,continuous_keep,1.084369,3.683802018,3.791589642,0.062340624,0.045447000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
105,4.333333,3.721800400,3.769886319,3.810357686,1,continuous_keep,1.161182,3.769886319,3.795674896,0.062036577,-0.036248000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
106,4.375000,3.754893644,3.757809924,3.816060847,1,continuous_keep,1.238765,3.757809924,3.799423409,0.059022484,-0.017409000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
107,4.416667,3.809632638,3.712837787,3.826071605,1,continuous_keep,1.324431,3.712837787,3.805418730,0.054501943,0.038079000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
108,4.458333,3.889610549,3.772389252,3.840557874,1,continuous_keep,1.361504,3.772389252,3.810400915,0.048175663,-0.010164000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
