frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
124,5.125,0.25084503259419233,-0.2076886522905746,2.769337017031048,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
125,5.166667,0.23874966527382546,-0.2075853845123461,2.769537653910713,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
126,5.208333,0.2099665573054173,-0.22032017213765145,2.79304629857505,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
127,5.25,0.17788907059591666,-0.2259122080784493,2.8185489784723012,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
128,5.291667,0.14612532327111785,-0.2226778978181302,2.847947249383978,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
129,5.333333,0.11350558483358975,-0.21128775603710104,2.8812547880485178,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
130,5.375,0.08087439364853449,-0.19080036019109278,2.9185625899804806,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
131,5.416667,0.048522177596725426,-0.16008660840719718,2.955529667092217,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
132,5.458333,0.014861865742365483,-0.11871311055571605,2.988771412116525,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
133,5.5,-0.015151886791057468,-0.06831584619595835,3.0112742325909676,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
134,5.541667,-0.04710799443719815,-0.01137870257096928,3.020895481039071,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
135,5.583333,-0.05588142959854991,-0.017249043039372806,3.0186379135135892,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
136,5.625,-0.03709257740916376,-0.08465018832998171,3.007131020380928,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
137,5.666667,-0.018292817683459,-0.14560816854015932,2.9907872625147993,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
138,5.708333,-0.0008137926943959436,-0.19258080596430027,2.9761452650329048,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
139,5.75,0.012956110544244706,-0.23206900303593772,2.9661634037651363,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
140,5.791667,0.027188482589499886,-0.26215908967400237,2.960986659338065,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
141,5.833333,0.04196373325210069,-0.27953284326395883,2.9604347665429103,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
142,5.875,0.05815779976530532,-0.28592959888459124,2.9619166792281604,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
143,5.916667,0.07527299795946026,-0.28010796449119973,2.9606086567414276,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
144,5.958333,0.09204996502896978,-0.26191622311130974,2.9491874852681494,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
145,6.0,0.10690935890769404,-0.2290302293866016,2.9173525044460775,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
146,6.041667,0.12122098234826006,-0.18003542927250216,2.8521994545864735,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
147,6.083333,0.1314162248424959,-0.11633487851664918,2.7544597514117433,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
