frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
175,0,1,0,0,optimize,high_speed,0.250798,0.036855,0.300000,0.420000,0.340000,0,0,0,1,0.047740,0.000000
176,0,1,0,0,optimize,high_speed,0.328604,0.036453,0.300000,0.420000,0.340000,0,0,1,0,0.256328,0.000000
177,0,1,0,0,optimize,high_speed,0.539072,0.033284,0.300000,0.420000,0.340000,0,0,1,1,0.771101,0.000000
178,0,0,0,0,optimize,free_motion,0.078621,0.024153,0.180000,0.220000,0.220000,0,0,0,0,0.692984,0.000000
179,0,0,0,0,optimize,free_motion,0.087402,0.025892,0.180000,0.220000,0.220000,0,0,0,0,0.607249,0.000000
180,0,0,0,0,optimize,free_motion,0.092493,0.027721,0.180000,0.220000,0.220000,0,1,0,0,0.518029,0.000000
181,0,1,0,0,optimize,high_speed,0.269172,0.201245,0.300000,0.420000,0.340000,1,1,0,0,0.382563,0.000000
182,1,1,0,0,optimize,high_speed,0.300767,0.349482,0.300000,0.420000,0.340000,1,0,1,0,0.282428,0.000000
183,1,1,0,0,optimize,high_speed,0.515471,0.351276,0.300000,0.420000,0.340000,1,0,1,0,0.124745,0.000000
184,0,1,0,0,optimize,sustained_grasp_high_speed,0.310742,0.280297,0.300000,0.420000,0.340000,1,1,1,0,0.070865,0.000000
185,0,0,0,0,optimize,sustained_grasp,0.066905,0.035959,0.180000,0.220000,0.220000,0,0,0,0,0.081233,0.000000
186,0,0,0,0,optimize,sustained_grasp,0.018361,0.035303,0.180000,0.220000,0.220000,0,0,0,0,0.069812,0.000000
187,0,0,0,0,optimize,sustained_grasp,0.025165,0.034993,0.180000,0.220000,0.220000,0,0,0,0,0.076905,0.000000
188,0,0,0,0,optimize,sustained_grasp,0.024851,0.034733,0.180000,0.220000,0.220000,0,0,0,0,0.076954,0.000000
189,0,0,0,0,optimize,sustained_grasp,0.057154,0.034550,0.180000,0.220000,0.220000,0,0,0,0,0.029341,0.000000
190,0,0,0,0,optimize,uniform_motion,0.037100,0.034426,0.180000,0.220000,0.220000,0,0,0,0,0.029922,0.000000
191,0,0,0,0,optimize,uniform_motion,0.041769,0.034517,0.180000,0.220000,0.220000,0,0,0,0,0.019840,0.000000
192,0,0,0,0,optimize,uniform_motion,0.040505,0.039127,0.180000,0.220000,0.220000,0,0,0,0,0.031277,0.000000
193,0,0,0,0,optimize,uniform_motion,0.038644,0.039333,0.180000,0.220000,0.220000,0,0,0,0,0.039769,0.000000
194,0,0,0,0,optimize,free_motion,0.068344,0.038762,0.180000,0.220000,0.220000,0,0,0,0,0.003383,0.000000
195,0,0,0,0,optimize,uniform_motion,0.037088,0.037352,0.180000,0.220000,0.220000,0,0,0,0,0.010706,0.000000
196,0,0,0,0,optimize,free_motion,0.089205,0.022805,0.180000,0.220000,0.220000,0,0,0,0,0.067875,0.000000
197,0,0,0,0,optimize,low_speed,0.025097,0.021680,0.100000,0.120000,0.120000,0,0,0,0,0.069595,0.000000
198,0,0,0,0,optimize,low_speed,0.025518,0.020680,0.100000,0.120000,0.120000,0,0,0,0,0.076403,0.000000
